epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0848,1.50713,1.12724,2.68955,1.76388,0,0.00399,0.9213,0.23526,0.10077,0.00399,0.9213,0.24069,0.10545,2.14983,0.95091,3.40428,2.75831,0,0.000161905,0.000161905,0.067781
2,91.9645,1.34724,0.4643,2.18841,1.61859,0,0.61095,0.35138,0.56133,0.32003,0.61095,0.35138,0.56133,0.32145,1.36071,0.45411,2.55283,1.87697,0,0.000322066,0.000322066,0.0346078
3,137.693,1.33023,0.49167,1.89554,1.56761,0,0.70525,0.77963,0.81631,0.49619,0.67487,0.7463,0.74513,0.43168,1.27288,1.4952,1.42783,1.78627,0,0.000475627,0.000475627,0.00142801
4,183.22,1.31779,0.35916,1.7788,1.57066,0,0.71579,0.81608,0.81969,0.51028,0.71579,0.81608,0.81969,0.50826,1.2636,0.69915,1.61478,1.74652,0,0.0004703,0.0004703,0.0004703
5,229.51,1.34134,0.37983,1.60736,1.57847,0,0.80599,0.60965,0.76762,0.43638,0.80599,0.60965,0.78184,0.43917,1.36468,0.27694,2.01264,1.82912,0,0.0004604,0.0004604,0.0004604
6,276.074,1.30674,0.48386,1.5815,1.55312,0,0.84907,0.7714,0.91546,0.58734,0.86504,0.79223,0.92239,0.58449,1.30777,0.18991,1.3874,1.77821,0,0.0004505,0.0004505,0.0004505
7,325.106,1.3029,0.36376,1.48765,1.53622,0,0.84258,0.84705,0.92255,0.62103,0.84251,0.85285,0.9288,0.61417,1.23291,0.1956,1.45465,1.66486,0,0.0004406,0.0004406,0.0004406
8,374.315,1.3184,0.33293,1.44073,1.53895,0,0.98516,0.81685,0.94481,0.65563,0.98516,0.81685,0.94481,0.64327,1.30542,0.37883,1.17293,1.65455,0,0.0004307,0.0004307,0.0004307
9,452.699,1.3,0.31104,1.42857,1.53714,0,0.88195,0.89382,0.92203,0.6069,0.88195,0.89382,0.93057,0.60927,1.57067,0.20694,1.24186,1.83534,0,0.0004208,0.0004208,0.0004208
10,498.798,1.2489,0.28379,1.3438,1.49404,0,0.88618,0.94203,0.96159,0.65346,0.90608,0.96286,0.98174,0.65211,1.17815,0.03194,1.19928,1.60759,0,0.0004109,0.0004109,0.0004109
11,545.294,1.25854,0.21726,1.3424,1.49393,0,0.98285,0.91171,0.9673,0.66718,0.97056,0.96415,0.98955,0.66987,1.42441,0.0145,1.07023,1.95338,0,0.000401,0.000401,0.000401
12,591.168,1.23443,0.24602,1.32475,1.49493,0,0.94659,0.88855,0.94823,0.67742,0.94659,0.88855,0.95197,0.66819,1.36594,0.02968,1.10806,1.94689,0,0.0003911,0.0003911,0.0003911
13,637.044,1.21402,0.33622,1.26867,1.45771,0,0.8985,0.94159,0.94505,0.65507,0.8985,0.94159,0.94505,0.64945,1.28618,0.04657,1.14464,1.70394,0,0.0003812,0.0003812,0.0003812
14,682.885,1.22834,0.31627,1.30332,1.47168,0,0.89807,0.92646,0.93267,0.64516,0.89807,0.92646,0.93513,0.6388,1.34374,0.0424,1.09553,1.74615,0,0.0003713,0.0003713,0.0003713
15,728.719,1.22129,0.31686,1.28711,1.47756,0,0.98001,0.94671,0.97079,0.71173,0.98001,0.94671,0.97079,0.68699,1.22941,0.08091,1.02529,1.64016,0,0.0003614,0.0003614,0.0003614
16,775.183,1.18718,0.30976,1.2546,1.4532,0,0.96009,0.96829,0.97529,0.67937,0.96009,0.96829,0.97529,0.67194,1.38191,0.06109,0.97208,1.79445,0,0.0003515,0.0003515,0.0003515
17,823.617,1.20439,0.35779,1.20894,1.46472,0,0.93403,0.93033,0.9673,0.67837,0.93403,0.93033,0.96754,0.66941,1.42695,0.09368,0.99079,1.82702,0,0.0003416,0.0003416,0.0003416
18,873.061,1.12871,0.222,1.16319,1.42263,0,0.96687,0.93471,0.96819,0.71182,0.96687,0.93471,0.96819,0.69921,1.19301,0.13781,0.93951,1.58638,0,0.0003317,0.0003317,0.0003317
19,922.255,1.09959,0.23848,1.12891,1.38405,0,0.91224,0.96534,0.96878,0.7012,0.91224,0.96534,0.96878,0.69494,1.19825,0.0661,1.01526,1.60588,0,0.0003218,0.0003218,0.0003218
20,971.634,1.16341,0.27273,1.15742,1.42691,0,0.91917,0.97917,0.96517,0.66712,0.91917,0.97917,0.96517,0.67199,1.20648,0.03119,0.93141,1.68242,0,0.0003119,0.0003119,0.0003119
21,1019.77,1.11306,0.28672,1.0591,1.38739,0,0.98933,0.97104,0.975,0.69011,0.98933,0.97104,0.975,0.68085,1.35645,0.0297,0.85393,1.73422,0,0.000302,0.000302,0.000302
22,1067.34,1.14196,0.2602,1.08846,1.41919,0,0.99189,0.95538,0.97375,0.71812,0.99189,0.95538,0.97375,0.72117,1.18871,0.03727,0.85781,1.59459,0,0.0002921,0.0002921,0.0002921
23,1144.76,1.1293,0.26714,1.06678,1.37957,0,0.98306,0.95346,0.97265,0.71249,0.98306,0.95346,0.97265,0.70511,1.16395,0.04078,0.84687,1.57298,0,0.0002822,0.0002822,0.0002822
24,1190.29,1.13546,0.3059,1.05906,1.40651,0,0.95645,0.97835,0.97375,0.67487,0.95645,0.97835,0.97375,0.67215,1.31485,0.04359,0.8068,1.74191,0,0.0002723,0.0002723,0.0002723
25,1236.09,1.10158,0.32485,1.05147,1.3922,0,0.98453,0.94583,0.97197,0.69451,0.98453,0.94583,0.97197,0.66987,1.23437,0.02707,0.78272,1.65131,0,0.0002624,0.0002624,0.0002624
26,1281.79,1.1805,0.18568,1.0401,1.45994,0,0.98583,0.95255,0.975,0.68099,0.98506,0.94583,0.97197,0.68583,1.19223,0.01902,0.77319,1.5952,0,0.0002525,0.0002525,0.0002525
27,1327.71,1.08248,0.26348,0.99319,1.36339,0,0.98377,0.97685,0.975,0.67591,0.98377,0.97685,0.975,0.67135,1.32042,0.01811,0.82735,1.71299,0,0.0002426,0.0002426,0.0002426
28,1373.79,1.06295,0.26467,0.97533,1.35829,0,0.9477,0.97403,0.97104,0.6885,0.9477,0.97403,0.97104,0.68412,1.23279,0.02239,0.82591,1.66339,0,0.0002327,0.0002327,0.0002327
29,1419.66,1.07853,0.2055,0.97009,1.39229,0,0.93833,0.97541,0.96583,0.68209,0.93833,0.97541,0.96583,0.66633,1.34451,0.01904,0.84656,1.79786,0,0.0002228,0.0002228,0.0002228
30,1465.93,1.02463,0.23895,0.9301,1.32675,0,0.94894,0.97917,0.96473,0.68323,0.94894,0.97917,0.96473,0.68163,1.39615,0.03213,0.86245,1.82498,0,0.0002129,0.0002129,0.0002129
31,1515.32,1.07369,0.22893,0.94042,1.35471,0,0.95898,0.97917,0.96936,0.70121,0.95898,0.97917,0.96936,0.71993,1.40428,0.04387,0.82802,1.83884,0,0.000203,0.000203,0.000203
32,1564.59,1.06804,0.17645,0.93051,1.34714,0,0.94919,0.97079,0.97104,0.69999,0.94919,0.97079,0.97162,0.69937,1.269,0.04188,0.796,1.69249,0,0.0001931,0.0001931,0.0001931
33,1614.03,1.00158,0.22937,0.89225,1.30639,0,0.95229,0.95517,0.97375,0.69724,0.95229,0.95517,0.97375,0.68844,1.16866,0.04803,0.76985,1.60564,0,0.0001832,0.0001832,0.0001832
34,1663.01,1.02314,0.20557,0.91376,1.33006,0,0.95286,0.97058,0.97375,0.69395,0.95286,0.97058,0.97375,0.68448,1.11988,0.064,0.72082,1.5603,0,0.0001733,0.0001733,0.0001733
35,1710.87,1.06287,0.19948,0.91835,1.34583,0,0.98668,0.93225,0.97167,0.71197,0.98668,0.93225,0.97167,0.70882,1.11671,0.05616,0.72323,1.54596,0,0.0001634,0.0001634,0.0001634
