epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3485,1.51878,1.12488,2.6893,1.76729,0,0.00383,0.9213,0.12896,0.0377,0.00396,0.94213,0.13204,0.03969,2.12951,0.25545,3.55272,2.88412,0,0.000161905,0.000161905,0.067781
2,92.5037,1.37181,0.47119,2.18704,1.62775,0,0.53805,0.18664,0.49556,0.25578,0.53805,0.18664,0.49556,0.26451,1.37869,0.33945,2.51744,1.87644,0,0.000322066,0.000322066,0.0346078
3,139.648,1.3585,0.489,1.88253,1.58262,0,0.70953,0.68782,0.6931,0.4236,0.70953,0.68782,0.68206,0.39795,1.31448,1.40667,1.71096,1.84217,0,0.000475627,0.000475627,0.00142801
4,186.428,1.34496,0.35748,1.80183,1.59071,0,0.77228,0.77768,0.72958,0.45251,0.79877,0.79852,0.77026,0.41003,1.39562,1.28217,2.50948,1.93569,0,0.0004703,0.0004703,0.0004703
5,233.335,1.34328,0.37605,1.64913,1.57315,0,0.79879,0.69416,0.84319,0.49058,0.79879,0.69416,0.84682,0.48736,1.22597,0.37843,1.3831,1.71597,0,0.0004604,0.0004604,0.0004604
6,279.759,1.32823,0.49218,1.63498,1.56991,0,0.85155,0.79738,0.90787,0.54563,0.85155,0.79738,0.90787,0.55029,1.42377,0.13102,1.45897,1.85948,0,0.0004505,0.0004505,0.0004505
7,331.849,1.3041,0.35478,1.52406,1.53012,0,0.6858,0.74455,0.81624,0.49282,0.6858,0.74455,0.81624,0.48688,1.24355,0.29058,1.62475,1.58428,0,0.0004406,0.0004406,0.0004406
8,385.714,1.32175,0.33708,1.51002,1.52891,0,0.91431,0.77222,0.89344,0.57253,0.91431,0.77222,0.89344,0.57505,1.3366,0.25416,1.36709,1.65123,0,0.0004307,0.0004307,0.0004307
9,436.049,1.28858,0.30575,1.45937,1.50966,0,0.9562,0.9116,0.9461,0.6535,0.9562,0.9116,0.9461,0.65031,1.36367,0.12014,1.23796,1.64602,0,0.0004208,0.0004208,0.0004208
10,484.645,1.24858,0.27835,1.33847,1.47909,0,0.94985,0.92175,0.96833,0.6217,0.94985,0.92175,0.96833,0.61623,1.25794,0.02351,1.19365,1.65601,0,0.0004109,0.0004109,0.0004109
11,532.875,1.24713,0.21195,1.35484,1.48569,0,0.91403,0.94177,0.96986,0.64976,0.91403,0.94177,0.96986,0.64048,1.41392,0.01498,1.18292,1.90068,0,0.000401,0.000401,0.000401
12,582.177,1.27207,0.24833,1.37242,1.51418,0,0.95817,0.89756,0.95173,0.64858,0.95817,0.89756,0.95173,0.64899,1.44814,0.02178,1.14511,1.96741,0,0.0003911,0.0003911,0.0003911
13,633.394,1.2534,0.34079,1.30024,1.48737,0,0.90834,0.91108,0.95602,0.63342,0.90834,0.91108,0.95602,0.62791,1.40551,0.03165,1.07669,1.78634,0,0.0003812,0.0003812,0.0003812
14,685.535,1.23042,0.326,1.31955,1.47224,0,0.9832,0.81344,0.93588,0.58697,0.9832,0.81344,0.93588,0.59585,1.41999,0.0554,1.14909,1.8938,0,0.0003713,0.0003713,0.0003713
15,736.387,1.23098,0.32267,1.27968,1.47667,0,0.96551,0.88333,0.96423,0.68033,0.96551,0.88333,0.96423,0.67305,1.18692,0.09624,1.14244,1.62556,0,0.0003614,0.0003614,0.0003614
