epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6365.35,1.05053,0.26668,0.77641,1.34857,0,0.9396,0.95401,0.96287,0.68072,0.9396,0.95401,0.97518,0.67865,1.18374,0.02499,0.51612,1.61365,0,0.0002327,0.0002327,0.0002327
29,6785.63,1.06466,0.20967,0.77909,1.39478,0,0.92019,0.8893,0.92646,0.65244,0.92019,0.8893,0.92646,0.65146,1.18683,0.06122,0.52642,1.64087,0,0.0002228,0.0002228,0.0002228
30,7198.4,1.01118,0.24785,0.73278,1.32494,0,0.91907,0.95365,0.97131,0.72995,0.91907,0.95365,0.97131,0.7134,1.02795,0.06042,0.47444,1.4727,0,0.0002129,0.0002129,0.0002129
31,7618.53,1.06065,0.22945,0.75123,1.34322,0,0.91206,0.90533,0.96017,0.71719,0.91206,0.90533,0.96017,0.7225,1.06971,0.06065,0.51532,1.53476,0,0.000203,0.000203,0.000203
32,8044.16,1.06687,0.17649,0.75631,1.34084,0,0.97141,0.93061,0.98402,0.71641,0.97141,0.93061,0.98402,0.70563,1.19169,0.03656,0.6025,1.64248,0,0.0001931,0.0001931,0.0001931
33,8462.16,0.99466,0.24367,0.68972,1.31389,0,0.97049,0.93729,0.98655,0.7216,0.97049,0.93729,0.98655,0.71471,1.06753,0.04589,0.45466,1.52511,0,0.0001832,0.0001832,0.0001832
34,8900.79,1.01863,0.20963,0.71676,1.32415,0,0.96463,0.96333,0.98655,0.70897,0.96463,0.96333,0.98655,0.71028,1.07893,0.0711,0.52196,1.58577,0,0.0001733,0.0001733,0.0001733
35,9363.97,1.01415,0.19657,0.71789,1.32222,0,0.95559,0.95129,0.97756,0.72139,0.95559,0.95129,0.97756,0.72664,1.15702,0.0539,0.51496,1.62758,0,0.0001634,0.0001634,0.0001634
36,9793.96,0.99267,0.25204,0.72028,1.32368,0,0.94193,0.97793,0.97979,0.70264,0.94193,0.97793,0.97979,0.69849,1.08261,0.05077,0.52229,1.56585,0,0.0001535,0.0001535,0.0001535
37,10789.8,1.00768,0.17607,0.69133,1.31225,0,0.96395,0.96668,0.96989,0.70422,0.96395,0.96668,0.96989,0.71119,1.25739,0.07319,0.51279,1.69761,0,0.0001436,0.0001436,0.0001436
38,11487,0.98587,0.17814,0.68826,1.30956,0,0.96709,0.96076,0.96824,0.6846,0.98935,0.98119,0.995,0.68649,1.26296,0.06997,0.46213,1.71768,0,0.0001337,0.0001337,0.0001337
39,11912.1,0.9402,0.29531,0.68635,1.26873,0,0.97922,0.99028,0.995,0.6934,0.97922,0.99028,0.995,0.69132,1.13698,0.06006,0.46268,1.62551,0,0.0001238,0.0001238,0.0001238
40,12332.8,0.97589,0.2009,0.6979,1.32419,0,0.95614,0.97033,0.96849,0.69343,0.95614,0.97033,0.95861,0.69165,1.13689,0.06204,0.46813,1.59518,0,0.0001139,0.0001139,0.0001139
41,12734.8,0.86842,0.16755,0.60083,1.35411,0,0.93319,0.92987,0.95186,0.68919,0.93833,0.94866,0.96077,0.69056,1.25883,0.04627,0.49548,1.68421,0,0.000104,0.000104,0.000104
42,13153.6,0.87682,0.17947,0.56456,1.35809,0,0.92158,0.92845,0.95695,0.69582,0.91497,0.96286,0.9699,0.69062,1.16132,0.02197,0.49643,1.55746,0,9.41e-05,9.41e-05,9.41e-05
43,13569.3,0.81695,0.15304,0.46987,1.28422,0,0.96085,0.93731,0.96937,0.69548,0.96085,0.93731,0.97222,0.69365,1.05134,0.01666,0.50527,1.50051,0,8.42e-05,8.42e-05,8.42e-05
44,13991.4,0.83645,0.13518,0.4539,1.30617,0,0.95405,0.95644,0.97354,0.69133,0.95405,0.95644,0.97635,0.69502,1.04523,0.01783,0.48415,1.50004,0,7.43e-05,7.43e-05,7.43e-05
45,14408.9,0.80302,0.13321,0.45278,1.28227,0,0.95896,0.95477,0.97561,0.69663,0.95896,0.95477,0.97561,0.68401,1.12383,0.0192,0.47366,1.56101,0,6.44e-05,6.44e-05,6.44e-05
46,14828.1,0.79178,0.12759,0.44886,1.2765,0,0.93014,0.97515,0.98086,0.70277,0.93014,0.97515,0.98086,0.69712,1.15216,0.01684,0.46909,1.60802,0,5.45e-05,5.45e-05,5.45e-05
47,15242.6,0.7746,0.1172,0.43745,1.29926,0,0.93101,0.9752,0.98435,0.70218,0.93101,0.9752,0.98435,0.70131,1.12128,0.01596,0.46373,1.6018,0,4.46e-05,4.46e-05,4.46e-05
48,15928.4,0.76892,0.13589,0.4489,1.27079,0,0.93317,0.97731,0.98184,0.71559,0.93317,0.97731,0.98184,0.71278,1.10403,0.01754,0.46098,1.60607,0,3.47e-05,3.47e-05,3.47e-05
49,16051.3,0.76183,0.10818,0.42422,1.24529,0,0.93427,0.97788,0.97139,0.71204,0.93427,0.97788,0.97139,0.70711,1.11163,0.01518,0.46225,1.62591,0,2.48e-05,2.48e-05,2.48e-05
50,16465.8,0.76332,0.10938,0.44068,1.25196,0,0.95307,0.99575,0.995,0.71885,0.95307,0.99575,0.995,0.71266,1.12099,0.01444,0.46856,1.63882,0,1.49e-05,1.49e-05,1.49e-05
