epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,95.3517,1.46758,2.53691,3.14152,1.77027,0,0.0038,0.97917,0.40699,0.25634,0.0038,0.97917,0.40699,0.25043,1.14715,0.10938,3.70127,1.74102,0,0.0032381,0.0032381,0.0708571
2,186.074,1.30195,0.51437,2.77418,1.61769,0,0.33932,0.23757,0.43159,0.25767,0.33932,0.23757,0.43823,0.2553,1.35581,0.33121,3.09068,1.90524,0,0.00624614,0.00624614,0.0405319
3,271.29,1.39109,0.4825,2.45784,1.62882,0,0.49392,0.36647,0.43579,0.1836,0.49612,0.37492,0.44436,0.1892,1.62343,0.16526,3.13108,2.11315,0,0.00892419,0.00892419,0.00987657
4,350.605,1.44751,0.43208,2.25574,1.62714,0,0.44552,0.81075,0.63158,0.36028,0.44552,0.81075,0.63158,0.36295,1.50882,0.10954,2.35288,2.29428,0,0.008515,0.008515,0.008515
5,425.708,1.4003,0.39267,2.14495,1.6423,0,0.56425,0.85227,0.81079,0.47035,0.56425,0.85227,0.81079,0.45719,1.48599,0.50549,2.48865,1.93978,0,0.00802,0.00802,0.00802
6,501.369,1.36779,0.3908,2.01503,1.59943,0,0.71437,0.76866,0.80615,0.46364,0.71437,0.76866,0.80615,0.45797,1.26205,0.04039,3.24218,1.76565,0,0.007525,0.007525,0.007525
7,581.28,1.3067,0.2757,1.81185,1.56856,0,0.59366,0.80518,0.74712,0.42459,0.59366,0.80518,0.74712,0.43411,1.61223,0.02155,2.43387,1.99478,0,0.00703,0.00703,0.00703
8,659.354,1.30033,0.28761,1.76736,1.56216,0,0.82602,0.78593,0.86214,0.515,0.82602,0.78593,0.86214,0.50903,1.64709,0.04479,2.08091,1.9885,0,0.006535,0.006535,0.006535
9,738.794,1.305,0.33646,1.76248,1.52965,0,0.8318,0.86349,0.90898,0.5301,0.8318,0.86349,0.9164,0.53445,1.60612,0.04926,1.97173,1.98059,0,0.00604,0.00604,0.00604
10,816.9,1.30008,0.26188,1.69055,1.55074,0,0.87974,0.91132,0.92841,0.62793,0.89917,0.93205,0.94662,0.60781,1.33375,0.02464,1.62028,1.79551,0,0.005545,0.005545,0.005545
11,1085.2,1.22896,0.26719,2.15888,1.70209,0,0.87972,0.88154,0.94316,0.64944,0.87972,0.88154,0.94316,0.63863,1.44536,0.04664,1.71208,1.79949,0,0.00505,0.00505,0.00505
12,1147.6,1.1686,0.23408,2.00016,1.68234,0,0.91135,0.93031,0.9738,0.65619,0.91135,0.93031,0.9738,0.66213,1.27836,0.16725,1.46204,1.68703,0,0.004555,0.004555,0.004555
13,1208.49,1.09549,0.24812,1.7861,1.59939,0,0.95971,0.88024,0.94551,0.66764,0.89064,0.9471,0.96539,0.66726,1.21342,0.08061,1.5121,1.62185,0,0.00406,0.00406,0.00406
14,1272.69,1.08858,0.20616,1.70389,1.58304,0,0.89064,0.91875,0.9524,0.66936,0.89064,0.91875,0.95396,0.67461,1.17988,0.03038,1.4967,1.60038,0,0.003565,0.003565,0.003565
15,1343.01,1.05946,0.25232,1.64714,1.56021,0,0.92412,0.87105,0.97,0.65078,0.94471,0.89162,0.97572,0.65264,1.29957,0.03954,1.46065,1.69123,0,0.00307,0.00307,0.00307
16,1414.32,1.03319,0.15127,1.5745,1.52074,0,0.94937,0.91952,0.97388,0.67591,0.94937,0.91952,0.97388,0.67442,1.15303,0.0353,1.33073,1.57392,0,0.002575,0.002575,0.002575
17,1483.67,1.04458,0.18019,1.50144,1.5297,0,0.9436,0.97175,0.98,0.67148,0.9436,0.97175,0.98,0.67039,1.20539,0.03477,1.3261,1.61676,0,0.00208,0.00208,0.00208
18,1567.51,1.03537,0.17325,1.50258,1.5006,0,0.92299,0.9765,0.9741,0.66879,0.92299,0.9765,0.97649,0.68082,1.17814,0.0411,1.25358,1.63269,0,0.001585,0.001585,0.001585
19,1659.07,0.98305,0.23131,1.39484,1.47641,0,0.9318,0.97076,0.97426,0.69791,0.94773,1,0.99265,0.69566,1.1973,0.03118,1.18225,1.63011,0,0.00109,0.00109,0.00109
20,1740.89,0.95879,0.16585,1.3782,1.43426,0,0.94691,0.99259,0.99028,0.71331,0.94691,0.99259,0.99028,0.70911,1.19495,0.03296,1.14642,1.62601,0,0.000595,0.000595,0.000595
